app,screen,screenshot_filename,presence_cue,construct,display_form,exact_ui_wording,notes
Life360,main map view,life360_mainmap_01.png,Friend avatar/pin placed on the map at a location,,,,
Life360,friend detail,life360_frienddetail_01.png,Friend's current place name / address on the detail card,,,,
Life360,place/arrival notification,life360_place_arrival_01.png,"""Arrived at"" / ""Left"" notification for a named place",,,,
Life360,status indicator,life360_status_01.png,Last-updated time / battery / ""moving"" or ""stopped"" indicator,,,,
Life360,co-presence cue,life360_copresence_01.png,Members grouped as being together / at the same place,,,,
Find My (iOS),main map view,findmy_mainmap_01.png,Contact bubble placed on the map at a location,,,,
Find My (iOS),friend detail,findmy_frienddetail_01.png,Contact's current place / address and distance from you,,,,
Find My (iOS),place/arrival notification,findmy_place_arrival_01.png,"""X has arrived at"" / ""X has left"" notification",,,,
Find My (iOS),status indicator,findmy_status_01.png,"""Updated just now / X min ago"" freshness or ""No location found""",,,,
Find My (iOS),co-presence cue,findmy_copresence_01.png,"""With you"" label or people-at-same-place grouping",,,,
Snap Map,main map view,snapmap_mainmap_01.png,Bitmoji avatar placed on the map at a location,,,,
Snap Map,friend detail,snapmap_frienddetail_01.png,Friend's place label / location name on tap,,,,
Snap Map,place/arrival notification,snapmap_place_arrival_01.png,Place or event surfaced from a friend's location,,,,
Snap Map,status indicator,snapmap_status_01.png,"""Updated X ago"" freshness, battery, or driving/flying status",,,,
Snap Map,co-presence cue,snapmap_copresence_01.png,Clustered avatars / friends shown together at a spot,,,,
Google Maps location sharing,main map view,gmaps_mainmap_01.png,Shared-contact photo pin placed on the map,,,,
Google Maps location sharing,friend detail,gmaps_frienddetail_01.png,Contact's current address / place name and distance,,,,
Google Maps location sharing,place/arrival notification,gmaps_place_arrival_01.png,Arrival/ETA or place-based sharing notification,,,,
Google Maps location sharing,status indicator,gmaps_status_01.png,"""Updated X min ago"" freshness / battery / ""Location not available""",,,,
Google Maps location sharing,co-presence cue,gmaps_copresence_01.png,Multiple shared contacts grouped at one location,,,,
Zenly-successor,main map view,zenly_mainmap_01.png,Friend avatar placed on the map at a location,,,,
Zenly-successor,friend detail,zenly_frienddetail_01.png,Friend's place name / address and distance on the detail sheet,,,,
Zenly-successor,place/arrival notification,zenly_place_arrival_01.png,Arrival / left / place-change notification for a friend,,,,
Zenly-successor,status indicator,zenly_status_01.png,"Last-seen / freshness / battery / ""sleeping"" or ""moving"" indicator",,,,
Zenly-successor,co-presence cue,zenly_copresence_01.png,Friends grouped together / ""nearby"" or same-place cue,,,,
